league,season,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
ESP-La Liga,2425,2024-08-15 Betis-Girona,57,Pablo Fornals,Betis,0.03,0.0,Off Target,67,Right Foot,,,,,
ESP-La Liga,2425,2024-08-15 Betis-Girona,58,Bryan Gil,Girona,0.03,0.0,Off Target,27,Left Foot,,Iván Martín,Pass (Live),Bryan Gil,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,60,Abel Ruiz,Girona,0.22,0.0,Woodwork,10,Right Foot,,Yangel Herrera,Pass (Live),Iván Martín,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,63,Rodri,Betis,0.14,0.58,Saved,16,Left Foot,,Aitor Ruibal,Pass (Live),Rodri,Interception
ESP-La Liga,2425,2024-08-15 Betis-Girona,64,William Carvalho,Betis,0.12,0.15,Saved,6,Head,,Nabil Fekir,Pass (Dead),Rodri,Shot
ESP-La Liga,2425,2024-08-15 Betis-Girona,67,Jhon Solis,Girona,0.01,0.0,Blocked,33,Right Foot,,Bryan Gil,Pass (Live),Miguel Gutiérrez,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,72,Gabriel Osei Misehouy,Girona,0.65,0.93,Goal,8,Right Foot,,Iker Almena,Pass (Live),Iker Almena,Take-On
ESP-La Liga,2425,2024-08-15 Betis-Girona,74,Ezequiel Ávila,Betis,0.07,0.0,Woodwork,11,Right Foot,Volley,William Carvalho,Pass (Live),Nabil Fekir,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,85,Johnny Cardoso,Betis,0.04,0.0,Off Target,29,Right Foot,,Ezequiel Ávila,Pass (Live),Romain Perraud,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,86,Cristhian Stuani,Girona,0.19,0.0,Blocked,8,Right Foot,,Iván Martín,Pass (Live),,
ESP-La Liga,2425,2024-08-15 Betis-Girona,86,Johnny Cardoso,Betis,0.06,0.0,Off Target,22,Right Foot,,Nabil Fekir,Pass (Live),Sergi Altimira,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,88,Gabriel Osei Misehouy,Girona,0.11,0.0,Blocked,9,Right Foot,,Miguel Gutiérrez,Pass (Live),Daley Blind,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,90,Youssouf Sabaly,Betis,0.1,0.0,Blocked,10,Right Foot,,Nabil Fekir,Pass (Live),Sergi Altimira,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,90+1,Nabil Fekir,Betis,0.02,0.0,Off Target,33,Left Foot,,Ezequiel Ávila,Pass (Live),Rodri,Pass (Live)
ESP-La Liga,2425,2024-08-15 Betis-Girona,90+3,Iker Almena,Girona,0.03,0.0,Off Target,25,Left Foot,,Gabriel Osei Misehouy,Pass (Live),Iván Martín,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,17,Kiké,Alavés,0.34,0.49,Goal,8,Head,,Antonio Blanco,Pass (Live),Jon Guridi,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,23,Fran Beltrán,Celta Vigo,0.03,0.0,Off Target,25,Right Foot,,Carl Starfelt,Pass (Live),Fran Beltrán,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,39,Jon Guridi,Alavés,0.03,0.0,Off Target,18,Head,,Carlos Vicente,Pass (Live),Kiké,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,48,Kiké,Alavés,0.04,0.0,Off Target,13,Head,,Luka Romero,Pass (Live),Ander Guevara,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,53,Antonio Blanco,Alavés,0.02,0.0,Off Target,31,Right Foot,,Ander Guevara,Pass (Live),Ander Guevara,Take-On
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,63,Iago Aspas,Celta Vigo,0.3,0.52,Saved,7,Head,,Óscar Mingueza,Pass (Live),Fran Beltrán,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,65,Óscar Mingueza,Celta Vigo,0.03,0.11,Saved,33,Right Foot,"Free kick, Deflected",Anastasios Douvikas,Fouled,Javi Rodríguez,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,66,Williot Swedberg,Celta Vigo,0.07,0.44,Goal,20,Right Foot,,Hugo Álvarez,Pass (Live),,
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,70,Kiké,Alavés,0.15,0.0,Off Target,5,Right Foot,,Luis Rioja,Pass (Live),Kiké,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,71,Kiké,Alavés,0.04,0.0,Blocked,9,Right Foot,,Carlos Vicente,Pass (Live),Hugo Novoa,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,80,Hugo Novoa,Alavés,0.49,0.0,Off Target,10,Right Foot,,Hugo Novoa,Pass (Live),Stoichkov,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,82,Stoichkov,Alavés,0.14,0.0,Blocked,14,Left Foot,,Stoichkov,Tackle,,
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,83,Asier Villalibre,Alavés,0.33,0.49,Saved,13,Left Foot,,Carlos Benavídez,Pass (Live),Antonio Blanco,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,84,Iago Aspas,Celta Vigo,0.33,0.67,Goal,10,Left Foot,,Williot Swedberg,Pass (Live),Óscar Mingueza,Pass (Live)
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,89,Antonio Blanco,Alavés,0.04,0.0,Blocked,22,Right Foot,,Moussa Diarra,Pass (Live),,
ESP-La Liga,2425,2024-08-16 Celta Vigo-Alavés,90+2,Iago Aspas,Celta Vigo,0.06,0.0,Off Target,14,Left Foot,Volley,Ilaix Moriba,Pass (Live),Javi Rodríguez,Fouled
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,4,Djibril Sow,Sevilla,0.08,0.0,Blocked,12,Right Foot,,Dodi Lukebakio,Pass (Live),Dodi Lukebakio,Take-On
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,4,Lucas Ocampos,Sevilla,0.09,0.17,Saved,16,Right Foot,"Deflected, Volley",Djibril Sow,Shot,,
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,7,Isaac Romero,Sevilla,0.05,0.0,Blocked,13,Right Foot,Volley,Juanlu Sánchez,Pass (Live),Lucien Agoume,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,10,Tanguy Nianzou,Sevilla,0.09,0.0,Off Target,9,Head,,Dodi Lukebakio,Pass (Live),Djibril Sow,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,14,Alberto Moleiro,Las Palmas,0.02,0.07,Saved,18,Right Foot,,Alberto Moleiro,Take-On,Álex Muñoz,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,16,Javier Muñoz,Las Palmas,0.02,0.0,Blocked,37,Right Foot,,Enzo Loiodice,Pass (Live),Alberto Moleiro,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,17,Carmona,Sevilla,0.02,0.0,Off Target,30,Right Foot,,Juanlu Sánchez,Pass (Live),Djibril Sow,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,18,Adrià Pedrosa,Sevilla,0.03,0.0,Off Target,29,Left Foot,,,,,
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,28,Jaime Mata,Las Palmas,0.08,0.0,Off Target,12,Left Foot,Volley,Mika Mármol,Pass (Live),Enzo Loiodice,Pass (Dead)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,30,Alberto Moleiro,Las Palmas,0.13,0.0,Off Target,10,Head,,Álex Muñoz,Pass (Live),Oliver McBurnie,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,36,Oliver McBurnie,Las Palmas,0.52,0.41,Saved,8,Left Foot,,Marvin,Pass (Live),Mika Mármol,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,38,Mika Mármol,Las Palmas,0.02,0.0,Off Target,21,Left Foot,Volley,Oliver McBurnie,Pass (Live),Oliver McBurnie,Fouled
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,40,Dodi Lukebakio,Sevilla,0.03,0.0,Off Target,16,Right Foot,,Djibril Sow,Pass (Live),Juanlu Sánchez,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,44,Nemanja Gudelj,Sevilla,0.03,0.0,Off Target,30,Right Foot,,Lucas Ocampos,Pass (Live),Isaac Romero,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,50,Mika Mármol,Las Palmas,0.05,0.0,Blocked,8,Left Foot,,Enzo Loiodice,Pass (Dead),Alberto Moleiro,Take-On
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,50,Álex Muñoz,Las Palmas,0.01,0.0,Off Target,6,Head,,Alberto Moleiro,Pass (Live),Enzo Loiodice,Pass (Dead)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,52,Juanlu Sánchez,Sevilla,0.24,0.0,Off Target,14,Right Foot,,Nemanja Gudelj,Pass (Live),Lucas Ocampos,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,53,Alberto Moleiro,Las Palmas,0.09,0.0,Blocked,11,Right Foot,Volley,Javier Muñoz,Pass (Live),Marvin,Pass (Dead)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,57,Kirian Rodríguez,Las Palmas,0.01,0.0,Off Target,36,Right Foot,Volley,,,,
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,58,Alberto Moleiro,Las Palmas,0.06,0.06,Saved,17,Left Foot,,Javier Muñoz,Pass (Live),Oliver McBurnie,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,58,Javier Muñoz,Las Palmas,0.19,0.0,Off Target,9,Head,,Álex Muñoz,Pass (Live),Alberto Moleiro,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,61,Juanlu Sánchez,Sevilla,0.36,0.8,Goal,5,Right Foot,,Isaac Romero,Pass (Live),Lucas Ocampos,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,64,Lucas Ocampos,Sevilla,0.02,0.0,Blocked,21,Right Foot,,Juanlu Sánchez,Pass (Live),Carmona,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,71,Sandro Ramírez,Las Palmas,0.2,0.52,Goal,14,Left Foot,Deflected,Javier Muñoz,Pass (Live),Manuel Fuster,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,74,Dodi Lukebakio,Sevilla,0.26,0.0,Off Target,7,Left Foot,,Lucas Ocampos,Pass (Live),Djibril Sow,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,75,Isaac Romero,Sevilla,0.01,0.0,Off Target,16,Head,,Jesús Navas,Pass (Live),Lucas Ocampos,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,76,Lucas Ocampos,Sevilla,0.03,0.0,Off Target,29,Right Foot,,Juanlu Sánchez,Pass (Live),Jesús Navas,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,77,Alberto Moleiro,Las Palmas,0.02,0.07,Saved,33,Right Foot,,Manuel Fuster,Pass (Live),Kirian Rodríguez,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,79,Lucas Ocampos,Sevilla,0.02,0.02,Saved,31,Right Foot,,Djibril Sow,Pass (Live),Tanguy Nianzou,Pass (Live)
ESP-La Liga,2425,2024-08-16 Las Palmas-Sevilla,90,Djibril Sow,Sevilla,0.31,0.26,Saved,12,Right Foot,,Adrià Pedrosa,Pass (Live),Lucas Ocampos,Pass (Live)
